Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8899-8889-17,192.168.10.2,8889,192.168.10.1,8899,17,05/02/2024 08:06:08 pm,29714395,2,1,26.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,1.3124951727941963,0.10096116713801509,1.48571975E7,1.5924090674261827E7,2.611723E7,3597165.0,3597165.0,3597165.0,0.0,3597165.0,3597165.0,0,0,0,0,0,0,0,0,0,16,8,0.06730744475867673,0.03365372237933836,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,17.333333333333332,13.0,13.0,0,0,0,0,0,0,2,26,1,13,-1,-1,2,0,0,0,0,0,2.611723E7,0.0,2.611723E7,2.611723E7,No Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,05/02/2024 08:05:34 pm,63100542,66,1,11174.0,167.0,176.0,166.0,169.30303030303025,2.583793853230294,167.0,167.0,167.0,0.0,179.72904258096548,1.0617975357485836,956068.8181818182,428034.6311523406,2034217.0,734.0,6.3000505E7,969238.5384615383,417672.54634193087,2034217.0,734.0,0,0,0,0,0,0,0,0,0,528,8,1.0459498113344257,0.015847724414157965,166.0,176.0,169.23529411764707,2.574951945987346,6.630377524144019,0,0,0,0,0,0,0,0,0.0,171.76119402985074,169.3030303030303,167.0,0,0,0,0,0,0,66,11174,1,167,-1,-1,66,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,05/02/2024 08:05:33 pm,38193570,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052364835232736814,3.819357E7,0.0,3.819357E7,3.819357E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026182417616368407,0.026182417616368407,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.819357E7,0.0,3.819357E7,3.819357E7,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.2,9000,192.168.10.1,8889,17,05/02/2024 08:05:33 pm,63987599,3,28,18.0,155.0,7.0,4.0,6.0,1.7320508075688772,24.0,2.0,5.535714285714285,3.7266024925615744,2.7036488742138927,0.4844688734140501,2132919.9666666673,4620406.540478157,2.487685E7,39160.0,5.006272E7,2.503136E7,2.845208041455953E7,4.5150019E7,4912701.0,6.3987599E7,2369911.074074074,5235583.506283325,2.487685E7,46512.0,0,0,0,0,24,224,0.046884084523940335,0.43758478889010977,2.0,24.0,5.625000000000001,3.5172386529684734,12.37096774193548,0,0,0,0,0,0,0,0,9.0,5.806451612903226,6.0,5.535714285714286,0,0,0,0,0,0,3,18,28,155,-1,-1,3,0,2792437.5,3883325.083366122,5538363.0,46512.0,1.7068418E7,1.104279043526807E7,2.487685E7,9259986.0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,05/02/2024 08:05:34 pm,64460988,615,1,104165.0,167.0,177.0,166.0,169.37398373983754,2.6806046463612656,167.0,167.0,167.0,0.0,1618.529334362669,9.556167522595217,104814.61463414639,146261.59583590372,1779926.0,599.0,6.4360939E7,104822.37622149836,146380.72029848382,1779926.0,599.0,0,0,0,0,0,0,0,0,0,4920,8,9.540654263629964,0.015513258965251976,166.0,177.0,169.36628849270662,2.679654828714422,7.180550001052519,0,0,0,0,0,0,0,0,0.0,169.64123376623377,169.3739837398374,167.0,0,0,0,0,0,0,615,104165,1,167,-1,-1,615,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,05/02/2024 08:05:34 pm,63136728,60,1,780.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,12.560042706045838,0.9661571312342953,1052278.8000000003,338863.5189291466,2363904.0,182694.0,6.2167732E7,1053690.3728813562,341594.309658548,2363904.0,182694.0,0,0,0,0,0,0,0,0,0,480,8,0.9503184897386511,0.015838641495644182,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,13.21311475409836,13.0,13.0,0,0,0,0,0,0,60,780,1,13,-1,-1,60,0,0,0,0,0,0,0,0,0,No Label
