Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,05/02/2024 08:17:57 pm,34013981,34,1,5805.0,173.0,176.0,166.0,170.73529411764702,2.7777124175317107,173.0,173.0,173.0,0.0,175.7512594600438,1.0289886385248466,1000411.205882353,45197.83446661443,1071942.0,916459.0,3.2945702E7,998354.6060606061,44253.61763597652,1071942.0,916459.0,0,0,0,0,0,0,0,0,0,272,8,0.9995889631384224,0.029399675386424188,166.0,176.0,170.86111111111111,2.748015156724446,7.55158730158728,0,0,0,0,0,0,0,0,0.0,175.74285714285713,170.73529411764707,173.0,0,0,0,0,0,0,34,5805,1,173,-1,-1,34,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,05/02/2024 08:17:56 pm,35537917,354,1,60489.0,173.0,177.0,166.0,170.8728813559322,2.5376929927121457,173.0,173.0,173.0,0.0,1706.9655489374911,9.989330550802963,100389.59604519769,12518.70602595985,152419.0,38536.0,3.5436488E7,100386.65155807363,12536.352908883993,152419.0,38536.0,0,0,0,0,0,0,0,0,0,2832,8,9.961191591504926,0.028138959298036517,166.0,177.0,170.88483146067415,2.5355378849231784,6.428952365880705,0,0,0,0,0,0,0,0,0.0,171.3661971830986,170.8728813559322,173.0,0,0,0,0,0,0,354,60489,1,173,-1,-1,354,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.2,9000,192.168.10.1,8889,17,05/02/2024 08:18:03 pm,4081042,1,2,9.0,9.0,9.0,9.0,9.0,0.0,7.0,2.0,4.5,3.5355339059327378,4.410638263463106,0.735106377243851,2040521.0,2574049.7028550166,3860649.0,220393.0,0,0,0,0,0,3860649.0,3860649.0,0.0,3860649.0,3860649.0,0,0,0,0,8,16,0.24503545908128366,0.4900709181625673,2.0,9.0,6.25,2.9860788111948193,8.916666666666666,0,0,0,0,0,0,0,0,2.0,8.333333333333334,9.0,4.5,0,0,0,0,0,0,1,9,2,9,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,05/02/2024 08:17:57 pm,34066549,34,1,442.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,13.35621051606959,1.0274008089284299,1001957.3235294118,23976.710694768823,1032291.0,951191.0,3.304603E7,1001394.8484848485,24119.592221782605,1032291.0,951191.0,0,0,0,0,0,0,0,0,0,272,8,0.9980465001019034,0.029354308826526572,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,13.371428571428572,13.0,13.0,0,0,0,0,0,0,34,442,1,13,-1,-1,34,0,0,0,0,0,0,0,0,0,No Label
