Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,5/2/2024 20:08,13630288,14,1,2343,167,168,166,167.3571429,0.633323694,167,167,167,0,184.1487135,1.10049032,973592,414276.2482,2049047,6423,1.30E+07,998131.9231,420468.0629,2049047,6423,0,0,0,0,0,0,0,0,0,112,8,1.027124298,0.073366021,166,168,167.3125,0.602079729,0.3625,0,0,0,0,0,0,0,0,0,178.4666667,167.3571429,167,0,0,0,0,0,0,14,2343,1,167,-1,-1,14,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,5/2/2024 20:08,14942810,147,1,24592,167,168,166,167.292517,0.653870294,167,167,167,0,1656.917273,9.904428953,101651.7687,125475.3586,1268201,577,1.49E+07,102343.4247,125625.7831,1268201,577,0,0,0,0,0,0,0,0,0,1176,8,9.837507136,0.066921817,166,168,167.2885906,0.650314913,0.422909487,0,0,0,0,0,0,0,0,0,168.4189189,167.292517,167,0,0,0,0,0,0,147,24592,1,167,-1,-1,147,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.1,8889,192.168.10.2,9000,17,5/2/2024 20:08,13733859,13,1,65,5,5,5,5,0,5,5,5,0,5.096892286,1.019378457,1056450.692,309235.0418,2037095,672949,1.31E+07,1088409.167,299725.034,2037095,968276,0,0,0,0,0,0,0,0,0,104,8,0.94656571,0.072812747,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5.357142857,5,5,0,0,0,0,0,0,13,65,1,5,-1,-1,13,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,5/2/2024 20:08,13776300,14,1,182,13,13,13,13,0,13,13,13,0,14.15474402,1.088826463,984021.4286,375592.2325,1936123,50069,1.30E+07,1000445.385,385660.6879,1936123,50069,0,0,0,0,0,0,0,0,0,112,8,1.016238032,0.072588431,13,13,13,0,0,0,0,0,0,0,0,0,0,0,13.86666667,13,13,0,0,0,0,0,0,14,182,1,13,-1,-1,14,0,0,0,0,0,0,0,0,0,No Label
