Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8899-8889-17,192.168.10.2,8889,192.168.10.1,8899,17,05/02/2024 08:09:35 pm,55084349,26,1,338.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,6.372045896376119,0.49015737664431686,2118628.807692308,3120573.536170863,1.703292E7,965510.0,5.2076843E7,2083073.7200000004,3179542.5057226066,1.703292E7,965510.0,0,0,0,0,0,0,0,0,0,208,8,0.47200339973156435,0.018153976912752477,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,13.481481481481481,13.0,13.0,0,0,0,0,0,0,26,338,1,13,-1,-1,26,0,3.3046991E7,0.0,3.3046991E7,3.3046991E7,1.703292E7,0.0,1.703292E7,1.703292E7,No Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,05/02/2024 08:09:35 pm,67064835,45,1,7565.0,169.0,169.0,166.0,168.11111111111111,0.8847758376155389,169.0,169.0,169.0,0.0,115.32124100506621,0.6859034246487,1490329.6666666665,1896172.0209093513,1.2956406E7,87218.0,6.6966677E7,1521969.931818182,1906039.4589277767,1.2956406E7,87218.0,0,0,0,0,0,0,0,0,0,360,8,0.6709924806345978,0.014910944014102173,166.0,169.0,168.1489361702128,0.8841287385171797,0.7816836262719795,0,0,0,0,0,0,0,0,0.0,171.80434782608697,168.11111111111111,169.0,0,0,0,0,0,0,45,7565,1,169,-1,-1,45,0,1.5041089E7,0.0,1.5041089E7,1.5041089E7,1.2956406E7,0.0,1.2956406E7,1.2956406E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,05/02/2024 08:09:21 pm,14068322,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2843267306506064,4689440.666666666,4657858.168800906,1.0067872E7,2000102.0,1.206822E7,6034110.0,5704600.927785221,1.0067872E7,2000348.0,0,0,0,0,0,0,0,0,0,0,0,0.21324504798795477,0.0710816826626516,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,4000450.0,0.0,4000450.0,4000450.0,1.0067872E7,0.0,1.0067872E7,1.0067872E7,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.2,9000,192.168.10.1,8889,17,05/02/2024 08:09:35 pm,62200398,8,8,48.0,59.0,8.0,3.0,6.0,1.8516401995451028,24.0,2.0,7.375,7.836498853806736,1.7202462273633683,0.25723308072723267,4146693.1999999997,5470322.117337844,1.7137291E7,5023.0,5.5681839E7,7954548.428571428,6037667.199574321,1.7142314E7,2397029.0,5.6128496E7,8018356.571428571,7012254.937535948,1.9184319E7,30196.0,0,0,0,0,64,64,0.12861654036361633,0.12861654036361633,2.0,24.0,6.705882352941177,5.370808899532184,28.845588235294112,0,0,0,0,0,0,0,0,1.0,7.125,6.0,7.375,0,0,0,0,0,0,8,48,8,59,-1,-1,8,0,2360721.4,4176779.933874695,9667141.0,15751.0,1.00793582E7,5756345.559165875,1.7137291E7,5171461.0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,05/02/2024 08:09:35 pm,67064846,666,1,112113.0,169.0,176.0,166.0,168.33783783783784,0.967895544049155,169.0,169.0,169.0,0.0,1674.2303411835167,9.94559802612534,100697.96696696692,66613.80731407792,616621.0,289.0,6.6966672E7,100701.76240601506,66663.87737574801,616621.0,289.0,0,0,0,0,0,0,0,0,0,5328,8,9.930687084556936,0.014910941568403809,166.0,176.0,168.33982035928148,0.9671212467481698,0.9353235059117344,0,0,0,0,0,0,0,0,0.0,168.59220389805097,168.33783783783784,169.0,0,0,0,0,0,0,666,112113,1,169,-1,-1,666,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,05/02/2024 08:09:35 pm,67138919,67,1,871.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,13.166729717527922,1.0128253628867632,1002073.4179104478,117024.86910237826,1436880.0,553120.0,6.6171457E7,1002597.8333333334,117842.26864918707,1436880.0,553120.0,0,0,0,0,0,0,0,0,0,536,8,0.9979308722560755,0.014894490630687693,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,13.191176470588236,13.0,13.0,0,0,0,0,0,0,67,871,1,13,-1,-1,67,0,0,0,0,0,0,0,0,0,No Label
