Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8899-8889-17,192.168.10.2,8889,192.168.10.1,8899,17,05/02/2024 08:16:57 pm,12083410,2,1,26.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,3.227565728548481,0.2482742868114216,6041705.0,6664122.2024383675,1.0753951E7,1329459.0,1329459.0,1329459.0,0.0,1329459.0,1329459.0,0,0,0,0,0,0,0,0,0,16,8,0.1655161912076144,0.0827580956038072,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,17.333333333333332,13.0,13.0,0,0,0,0,0,0,2,26,1,13,-1,-1,2,0,0,0,0,0,1.0753951E7,0.0,1.0753951E7,1.0753951E7,No Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,05/02/2024 08:16:33 pm,75020272,72,1,12284.0,167.0,179.0,166.0,170.61111111111106,3.851305085385989,167.0,167.0,167.0,0.0,165.96847316149425,0.9730703189132665,1041948.2222222221,487792.71758474474,3566291.0,333.0,7.399494E7,1042182.2535211269,491260.5247259549,3566291.0,333.0,0,0,0,0,0,0,0,0,0,576,8,0.9597405885171943,0.013329730396072144,166.0,179.0,170.51351351351352,3.843668493264763,14.773787486116213,0,0,0,0,0,0,0,0,0.0,172.84931506849315,170.61111111111111,167.0,0,0,0,0,0,0,72,12284,1,167,-1,-1,72,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,05/02/2024 08:16:33 pm,75479182,675,1,114923.0,167.0,179.0,165.0,170.25629629629623,3.5684615751005047,167.0,167.0,167.0,0.0,1524.7912994075639,8.956111898509976,111821.01037037044,201213.14885840527,3422427.0,292.0,7.5366338E7,111819.49258160227,201362.57921103603,3422427.0,292.0,0,0,0,0,0,0,0,0,0,5400,8,8.942863212269577,0.013248686240399373,165.0,179.0,170.24667651403263,3.56756530733848,12.727522222125103,0,0,0,0,0,0,0,0,0.0,170.49852071005918,170.25629629629628,167.0,0,0,0,0,0,0,675,114923,1,167,-1,-1,675,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.2,9000,192.168.10.1,8889,17,05/02/2024 08:16:35 pm,67386394,8,4,63.0,15.0,9.0,7.0,7.875,0.9910312089651149,7.0,2.0,3.75,2.362907813126304,1.1575036942917587,0.17807749142950136,6126035.818181817,7379096.734081399,2.3352988E7,36919.0,6.2122002E7,8874571.714285715,8057368.953043289,2.3395039E7,1506994.0,6.7386394E7,2.2462131333333336E7,2.507448101638561E7,5.1051431E7,4202818.0,0,0,0,0,64,32,0.11871832761966757,0.05935916380983378,2.0,9.0,6.538461538461538,2.401922307076307,5.769230769230769,0,0,0,0,0,0,0,0,0.0,7.083333333333333,7.875,3.75,0,0,0,0,0,0,8,63,4,15,-1,-1,8,0,4841947.333333333,729459.5100280298,5672893.0,4307067.0,1.294051475E7,8716526.228157308,2.3352988E7,5379941.0,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,05/02/2024 08:16:34 pm,74150772,66,1,858.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,11.746337583646465,0.9035644295112666,1123496.545454545,553923.0573067038,4188144.0,32769.0,7.313322E7,1125126.4615384615,558074.284434459,4188144.0,32769.0,0,0,0,0,0,0,0,0,0,528,8,0.8900783932499043,0.013486036261362187,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,13.194029850746269,13.0,13.0,0,0,0,0,0,0,66,858,1,13,-1,-1,66,0,0,0,0,0,0,0,0,0,No Label
