Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,5/2/2024 20:14,34015162,34,1,5631,165,166,165,165.6176471,0.493270218,165,165,165,0,170.3946023,1.028952912,1000445.941,45278.22461,1070529,912052,3.30E+07,1001413.121,45622.19889,1070529,912052,0,0,0,0,0,0,0,0,0,272,8,0.999554258,0.029398655,165,166,165.5833333,0.5,0.25,0,0,0,0,0,0,0,0,0,170.3142857,165.6176471,165,0,0,0,0,0,0,34,5631,1,165,-1,-1,34,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,5/2/2024 20:14,34525746,344,1,56933,166,166,164,165.502907,0.51223256,166,166,166,0,1653.809305,9.992542956,100365.5407,13990.92868,160143,34899,3.44E+07,100343.9388,14005.62201,160143,34899,0,0,0,0,0,0,0,0,0,2752,8,9.963579064,0.028963893,164,166,165.5057803,0.512138,0.262285331,0,0,0,0,0,0,0,0,0,165.9855072,165.502907,166,0,0,0,0,0,0,344,56933,1,166,-1,-1,344,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.2,9000,192.168.10.1,8889,17,5/2/2024 20:14,17842467,7,8,34,44,8,3,4.857142857,1.772810521,14,2,5.5,3.927922024,4.371592785,0.84069092,1274461.929,1422171.775,3856026,21178,1.61E+07,2679453.5,893514.5407,3878994,1981841,1.78E+07,2548923.857,1806313.209,5754923,37180,0,0,0,0,56,64,0.392322429,0.448368491,2,14,5.3125,2.960152023,8.7625,0,0,0,0,0,0,0,0,1,5.666666667,4.857142857,5.5,0,0,0,0,0,0,7,34,8,44,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,5/2/2024 20:14,33043764,33,1,429,13,13,13,13,0,13,13,13,0,13.37620012,1.028938471,1001326.182,31598.20352,1057795,931078,3.21E+07,1002334.906,31559.35551,1057795,931078,0,0,0,0,0,0,0,0,0,264,8,0.998675575,0.030262896,13,13,13,0,0,0,0,0,0,0,0,0,0,0,13.38235294,13,13,0,0,0,0,0,0,33,429,1,13,-1,-1,33,0,0,0,0,0,0,0,0,0,No Label
