Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.1-192.168.10.2-8890-8889-17,192.168.10.2,8889,192.168.10.1,8890,17,05/02/2024 08:15:45 pm,28070137,28,1,4679.0,166.0,170.0,165.0,167.10714285714283,1.1333099904225432,166.0,166.0,166.0,0.0,172.60336135872797,1.0331264147374841,1002504.8928571428,168824.67208151935,1400475.0,649074.0,2.705622E7,1002082.2222222224,172025.57140422094,1400475.0,649074.0,0,0,0,0,0,0,0,0,0,224,8,0.9975013659534331,0.03562504878405118,165.0,170.0,167.03333333333333,1.1290317283753175,1.2747126436781566,0,0,0,0,0,0,0,0,0.0,172.79310344827587,167.10714285714286,166.0,0,0,0,0,0,0,28,4679,1,166,-1,-1,28,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-8890-17,192.168.10.1,8889,192.168.10.2,8890,17,05/02/2024 08:15:45 pm,28501885,279,1,46607.0,166.0,178.0,164.0,167.05017921146938,1.5164535148601652,166.0,166.0,166.0,0.0,1641.0493551566851,9.823911646545483,102157.29390681005,97788.66122107262,554566.0,576.0,2.8409297E7,102191.71582733806,97963.32269618603,554566.0,576.0,0,0,0,0,0,0,0,0,0,2232,8,9.78882624780782,0.035085398737662435,164.0,178.0,167.0427046263346,1.5136138690517034,2.291026944585667,0,0,0,0,0,0,0,0,0.0,167.6392857142857,167.05017921146953,166.0,0,0,0,0,0,0,279,46607,1,166,-1,-1,279,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.2-8889-9000-17,192.168.10.2,9000,192.168.10.1,8889,17,05/02/2024 08:15:49 pm,20008050,3,3,24.0,11.0,9.0,7.0,8.0,1.0,7.0,2.0,3.6666666666666665,2.886751345948129,1.7492959083968702,0.2998792985823206,4001610.0,5079715.6132298885,1.2806683E7,24951.0,1.8228069E7,9114034.5,7834684.445684108,1.4653993E7,3574076.0,3627291.0,1813645.5,2529596.020842162,3602340.0,24951.0,0,0,0,0,24,24,0.1499396492911603,0.1499396492911603,2.0,9.0,6.0,2.8284271247461903,8.0,0,0,0,0,0,0,0,0,1.0,7.0,8.0,3.6666666666666665,0,0,0,0,0,0,3,24,3,11,-1,-1,3,0,3627291.0,0.0,3627291.0,3627291.0,1.2806683E7,0.0,1.2806683E7,1.2806683E7,No Label
192.168.10.1-192.168.10.2-8889-8899-17,192.168.10.1,8889,192.168.10.2,8899,17,05/02/2024 08:15:46 pm,28049292,28,1,364.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,13.0,0.0,13.44062445497733,1.03389418884441,1001760.4285714285,128593.9402677564,1268279.0,681086.0,2.7030383E7,1001125.2962962963,130998.80719856686,1268279.0,681086.0,0,0,0,0,0,0,0,0,0,224,8,0.9982426650911544,0.03565152375325552,13.0,13.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,13.448275862068966,13.0,13.0,0,0,0,0,0,0,28,364,1,13,-1,-1,28,0,0,0,0,0,0,0,0,0,No Label
