Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
74.125.200.95,443,192.168.68.78,57444,17,Discord,Chat
74.125.200.95,443,192.168.68.78,57444,17,Discord,Chat
74.125.200.95,443,192.168.68.78,57444,17,Discord,Chat
192.168.68.78,57444,74.125.200.95,443,17,Spotify,Streaming
192.168.68.78,61378,142.251.10.190,443,6,SFTP,Chat
142.251.10.190,443,192.168.68.78,61378,6,Vimeo,Chat
142.251.10.190,443,192.168.68.78,61378,6,Spotify,Chat
142.251.10.190,443,192.168.68.78,61378,6,Spotify,Chat
142.251.10.190,443,192.168.68.78,61378,6,Discord,Chat
142.251.10.190,443,192.168.68.78,61378,6,Spotify,Chat
142.251.10.190,443,192.168.68.78,61378,6,Discord,Chat
74.125.200.95,443,192.168.68.78,57444,17,Discord,Chat
192.168.68.78,61378,142.251.10.190,443,6,Spotify,Chat
192.168.68.78,61378,142.251.10.190,443,6,Email,Chat
192.168.68.78,61378,142.251.10.190,443,6,Spotify,Chat
142.251.10.190,443,192.168.68.78,61378,6,Discord,Chat
142.251.10.190,443,192.168.68.78,61378,6,Spotify,Chat
192.168.68.78,61378,142.251.10.190,443,6,Spotify,Chat
142.251.10.190,443,192.168.68.78,61378,6,Vimeo,Chat
142.251.10.190,443,192.168.68.78,61378,6,Vimeo,Chat
142.251.10.190,443,192.168.68.78,61378,6,Discord,Chat
142.251.10.190,443,192.168.68.78,61378,6,Valorant,Chat
142.251.10.190,443,192.168.68.78,61378,6,Spotify,Chat
192.168.68.78,61378,142.251.10.190,443,6,Spotify,Chat
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Chat
142.251.10.190,443,192.168.68.78,60110,17,Youtube,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Discord,Streaming
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Chat
142.251.10.190,443,192.168.68.78,60110,17,Youtube,Streaming
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Chat
142.251.10.190,443,192.168.68.78,61378,6,Vimeo,Chat
142.251.10.190,443,192.168.68.78,60110,17,Youtube,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Discord,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Youtube,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Discord,Chat
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Chat
192.168.68.78,60110,142.251.10.190,443,17,Spotify,Voip
