,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
104,192.168.68.71,50416,188.42.147.101,443,6,Gaming,
105,188.42.147.101,443,192.168.68.71,50416,6,Chat,
106,192.168.68.71,50385,23.209.46.68,443,6,Gaming,
107,192.168.68.71,50246,104.16.55.40,443,6,Gaming,
108,192.168.68.71,50417,188.42.147.101,443,6,Gaming,
109,192.168.68.71,50418,188.42.147.101,443,6,Gaming,
110,192.168.68.71,50419,188.42.147.101,443,6,Gaming,
111,192.168.68.71,50403,162.247.243.33,443,6,Gaming,
112,192.168.68.71,50413,8.241.138.124,80,6,Gaming,
113,192.168.68.71,50426,188.42.147.101,443,6,Streaming,
114,192.168.68.71,50228,104.18.11.21,8443,6,Streaming,
115,192.168.68.71,50316,188.42.147.158,443,6,Gaming,
116,192.168.68.71,50427,188.42.147.101,443,6,Gaming,
117,192.168.68.71,50428,188.42.147.101,443,6,Gaming,
118,192.168.68.71,50429,23.209.46.69,443,6,Chat,
120,192.168.68.71,50429,23.209.46.69,443,6,Chat,
121,192.168.68.71,50430,188.42.147.101,443,6,Gaming,
122,192.168.68.71,44376,188.42.147.253,54012,17,Gaming,
123,192.168.68.57,0,239.255.255.250,0,0,Email,
124,162.247.241.2,443,192.168.68.71,49848,6,Gaming,
125,162.247.241.2,443,192.168.68.71,49851,6,Gaming,
126,8.6.0.1,0,8.0.6.4,0,0,VoIP,
127,192.168.68.1,32911,239.255.255.250,1900,17,VoIP,
128,192.168.68.71,50206,104.18.18.119,443,6,Chat,
129,192.168.68.62,5353,224.0.0.251,5353,17,File Transfer,
130,192.168.68.71,50431,188.42.147.101,443,6,Gaming,
131,192.168.68.57,0,224.0.0.2,0,0,File Transfer,
132,192.168.68.1,0,239.255.255.250,0,0,Streaming,
133,192.168.68.71,0,224.0.0.22,0,0,Streaming,
134,192.168.68.65,5353,224.0.0.251,5353,17,Email,
135,192.168.68.78,0,224.0.0.22,0,0,Streaming,
136,192.168.68.72,5353,224.0.0.251,5353,17,Chat,
137,192.168.68.71,49834,104.16.55.40,443,6,File Transfer,
138,162.247.241.2,443,192.168.68.71,49835,6,Gaming,
139,162.247.241.2,443,192.168.68.71,49836,6,Gaming,
140,192.168.68.71,49837,104.16.55.40,443,6,Gaming,
141,192.168.68.71,49849,35.186.224.47,443,6,Streaming,
142,192.168.68.71,49847,104.16.55.40,443,6,Gaming,
143,192.168.68.71,49850,104.16.55.40,443,6,File Transfer,
144,172.65.217.212,5223,192.168.68.71,50097,6,Gaming,
145,192.168.68.71,49919,23.209.46.84,443,6,File Transfer,
146,192.168.68.71,49920,23.209.46.68,443,6,Gaming,
147,192.168.68.71,49921,23.202.34.131,443,6,File Transfer,
148,192.168.68.71,50432,188.42.147.101,443,6,Gaming,
149,192.168.68.71,50375,162.159.138.234,443,6,VoIP,
150,162.247.241.2,443,192.168.68.71,50245,6,Gaming,
151,192.168.68.71,50385,23.209.46.68,443,6,Streaming,
153,192.168.68.71,50385,23.209.46.68,443,6,Chat,
154,192.168.68.71,50239,104.16.55.40,443,6,Streaming,
