,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
361,172.30.139.64,51662,20.89.134.221,443,6,Streaming,
362,172.30.139.64,49881,13.33.88.80,443,6,Streaming,
363,172.30.139.64,49685,172.217.194.139,443,6,Streaming,
364,172.30.139.64,49685,172.217.194.139,443,6,VoIP,
365,172.30.139.64,49687,64.233.170.113,443,6,Streaming,
366,172.30.139.64,49684,64.233.170.94,443,6,Streaming,
367,172.30.139.64,49684,64.233.170.94,443,6,VoIP,
368,172.30.139.64,49687,64.233.170.113,443,6,VoIP,
369,172.30.139.64,49291,172.253.118.95,443,6,Streaming,
370,64.233.170.94,443,172.30.139.64,49684,6,Chat,
373,172.30.139.64,49765,40.99.10.18,443,6,Streaming,
374,172.30.139.64,65474,74.125.24.95,443,6,Streaming,
375,172.30.139.64,65474,74.125.24.95,443,6,VoIP,
377,74.125.24.95,443,172.30.139.64,65474,6,Streaming,
378,172.30.139.64,49262,142.251.10.95,443,6,Streaming,
379,172.30.139.64,49262,142.251.10.95,443,6,VoIP,
380,142.251.10.95,443,172.30.139.64,49262,6,File Transfer,
381,172.30.139.64,49692,64.233.170.132,443,6,Streaming,
382,172.30.139.64,49695,64.233.170.132,443,6,Streaming,
383,172.30.139.64,49692,64.233.170.132,443,6,VoIP,
384,172.30.139.64,49695,64.233.170.132,443,6,VoIP,
385,64.233.170.132,443,172.30.139.64,49695,6,Gaming,
387,142.251.10.102,443,172.30.139.64,64804,6,Streaming,
388,172.30.139.64,49421,20.198.162.78,443,6,Streaming,
389,172.30.139.64,49896,13.33.88.80,443,6,Streaming,
390,172.30.139.64,0,13.83.65.43,0,0,Streaming,
391,172.30.139.64,49405,64.233.170.132,443,6,Streaming,
392,64.233.170.132,443,172.30.139.64,49405,6,Chat,
393,64.233.170.132,443,172.30.139.64,49405,6,Streaming,
394,172.30.139.64,0,142.251.12.100,0,0,Chat,
395,172.30.139.64,51657,104.199.240.237,4070,6,File Transfer,
396,172.30.139.64,0,40.99.10.34,0,0,File Transfer,
397,172.30.139.64,49921,13.33.88.80,443,6,Streaming,
398,172.30.139.64,65266,40.99.10.50,443,6,VoIP,
399,172.30.139.64,65444,140.82.112.26,443,6,File Transfer,
400,172.30.139.64,0,35.186.224.13,0,0,VoIP,
401,34.117.65.55,443,172.30.139.64,64927,6,Chat,
402,52.98.65.18,443,172.30.139.64,60604,6,Streaming,
403,172.30.139.64,49935,13.33.88.89,443,6,Streaming,
404,172.30.139.64,52704,35.186.224.47,443,6,VoIP,
405,172.30.139.64,65077,172.217.194.95,443,6,Streaming,
406,172.30.139.64,63514,35.186.227.140,443,6,Streaming,
407,35.186.227.140,443,172.30.139.64,63514,6,Chat,
408,40.99.10.34,443,172.30.139.64,60282,6,Gaming,
409,172.30.139.64,49948,13.33.88.89,443,6,Streaming,
410,142.250.4.95,443,172.30.139.64,64866,6,Chat,
411,172.30.139.64,49817,35.186.224.25,443,6,File Transfer,
412,172.30.139.64,49883,172.217.194.94,80,6,Gaming,
413,172.30.139.64,49882,104.69.38.163,80,6,Gaming,
414,172.30.139.64,65058,172.217.194.94,443,6,Chat,
415,172.30.139.64,63120,91.108.56.148,443,6,VoIP,
416,172.30.139.64,51055,172.30.8.8,53,17,Chat,
417,172.30.139.64,51478,172.30.8.8,53,17,Chat,
418,35.186.224.25,443,172.30.139.64,65515,6,Chat,
419,35.186.224.25,443,172.30.139.64,49179,6,Chat,
420,172.30.139.64,56243,172.30.8.8,53,17,Chat,
421,172.30.139.64,49776,34.120.208.123,443,6,Streaming,
422,172.30.139.64,51658,35.186.224.47,443,6,Streaming,
423,35.186.224.25,443,172.30.139.64,49732,6,Chat,
424,172.30.139.64,64998,172.30.8.8,53,17,Chat,
425,172.30.139.64,54716,172.30.8.8,53,17,Chat,
426,172.30.139.64,62129,172.30.8.8,53,17,Chat,
427,172.30.139.64,56165,172.30.8.8,53,17,Chat,
428,172.30.139.64,51492,172.30.8.8,53,17,Chat,
429,172.30.139.64,49916,172.30.8.8,53,17,Gaming,
430,172.30.139.64,57860,172.30.8.8,53,17,Chat,
431,13.33.88.8,443,172.30.139.64,49868,6,Chat,
432,172.217.194.94,80,172.30.139.64,49883,6,Chat,
433,13.33.88.8,443,172.30.139.64,65210,6,Chat,
434,172.30.139.64,63591,172.30.8.8,53,17,Chat,
435,172.30.139.64,50604,172.30.8.8,53,17,Chat,
436,13.33.88.75,443,172.30.139.64,65443,6,Chat,
437,13.33.88.80,443,172.30.139.64,49161,6,Chat,
438,172.30.139.64,64822,172.30.8.8,53,17,Chat,
439,172.30.139.64,62156,172.30.8.8,53,17,Chat,
440,172.30.139.64,63843,172.30.8.8,53,17,File Transfer,
441,172.30.139.64,62909,172.30.8.8,53,17,Chat,
442,13.33.88.89,443,172.30.139.64,49855,6,Chat,
443,35.186.224.25,443,172.30.139.64,65193,6,Chat,
444,35.186.224.25,443,172.30.139.64,49217,6,Chat,
445,172.30.139.64,57621,172.30.139.255,57621,17,Gaming,
446,35.186.224.25,443,172.30.139.64,49290,6,Chat,
447,13.83.65.43,443,172.30.139.64,65281,6,Chat,
448,172.30.139.64,65439,172.30.8.8,53,17,File Transfer,
449,172.30.139.64,51277,172.30.8.8,53,17,Chat,
450,172.30.139.64,53973,172.30.8.8,53,17,Chat,
451,172.30.139.64,50864,172.30.8.8,53,17,Chat,
452,172.30.139.64,49192,172.30.8.8,53,17,Gaming,
453,172.30.139.64,51662,20.89.134.221,443,6,File Transfer,
454,172.217.194.139,443,172.30.139.64,49685,6,File Transfer,
455,172.30.139.64,59649,172.30.8.8,53,17,Chat,
456,172.30.139.64,57278,172.30.8.8,53,17,Chat,
457,172.30.139.64,51668,172.30.8.8,53,17,Chat,
458,13.33.88.75,443,172.30.139.64,65458,6,Chat,
459,13.33.88.89,443,172.30.139.64,49935,6,Chat,
460,35.186.224.25,443,172.30.139.64,49268,6,Chat,
461,172.30.139.64,49817,35.186.224.25,443,6,Streaming,
462,172.30.139.64,60884,172.30.8.8,53,17,Chat,
463,172.30.139.64,63438,172.30.8.8,53,17,Chat,
464,140.82.114.26,443,172.30.139.64,63940,6,Gaming,
465,172.30.139.64,65413,172.30.8.8,53,17,Chat,
466,172.30.139.64,61512,172.30.8.8,53,17,Chat,
467,172.30.139.64,50060,172.30.8.8,53,17,File Transfer,
468,172.30.139.64,0,204.79.197.200,0,0,Chat,
469,162.159.133.234,443,172.30.139.64,59649,6,Chat,
470,172.30.139.64,49353,172.30.8.8,53,17,Chat,
471,172.30.139.64,0,64.233.170.132,0,0,File Transfer,
472,172.30.139.64,50232,172.30.8.8,53,17,Chat,
473,35.186.224.25,443,172.30.139.64,49177,6,Chat,
474,162.159.137.232,443,172.30.139.64,49180,6,Chat,
475,172.30.139.64,52380,172.30.8.8,53,17,Chat,
476,13.33.88.75,443,172.30.139.64,65250,6,Chat,
477,34.117.65.55,443,172.30.139.64,64927,6,Chat,
478,13.83.65.43,443,172.30.139.64,64460,6,Streaming,
479,172.30.139.64,61242,172.30.8.8,53,17,Chat,
480,13.33.88.75,443,172.30.139.64,49346,6,Chat,
481,35.186.224.25,443,172.30.139.64,49289,6,Chat,
482,172.30.139.64,50769,172.30.8.8,53,17,Chat,
483,142.251.10.102,443,172.30.139.64,64804,6,Streaming,
484,13.33.88.75,443,172.30.139.64,65378,6,Chat,
485,172.30.139.64,49922,35.186.224.13,443,6,Streaming,
486,172.30.139.64,62360,172.30.8.8,53,17,Chat,
487,172.30.139.64,64125,172.30.8.8,53,17,Chat,
488,35.186.224.25,443,172.30.139.64,65331,6,Chat,
489,13.83.65.43,443,172.30.139.64,49787,6,Chat,
490,172.30.139.64,61428,172.30.8.8,53,17,Chat,
491,172.30.139.64,49867,172.30.8.8,53,17,Chat,
492,172.30.139.64,56002,172.30.8.8,53,17,Chat,
493,172.30.139.64,49897,13.83.65.43,443,6,Streaming,
494,172.30.139.64,57308,172.30.8.8,53,17,Chat,
495,172.30.139.64,53721,172.30.8.8,53,17,Chat,
496,172.30.139.64,0,74.125.200.99,0,0,Email,
497,172.30.139.64,61022,172.30.8.8,53,17,Chat,
498,172.30.139.64,61681,172.30.8.8,53,17,Chat,
499,172.30.139.64,61601,172.30.8.8,53,17,Chat,
500,172.30.139.64,60848,172.30.8.8,53,17,Chat,
501,172.30.139.64,63678,172.30.8.8,53,17,Chat,
502,172.30.139.64,54205,172.30.8.8,53,17,Chat,
503,172.30.139.64,51110,172.30.8.8,53,17,Chat,
504,152.195.38.76,80,172.30.139.64,65236,6,Chat,
505,172.30.139.64,52627,172.30.8.8,53,17,Gaming,
506,172.30.139.64,49950,34.120.177.193,443,6,VoIP,
507,13.33.88.75,443,172.30.139.64,49331,6,Chat,
508,35.186.224.25,443,172.30.139.64,49697,6,Chat,
509,172.30.139.64,49181,172.30.8.8,53,17,Chat,
510,172.30.139.64,58476,172.30.8.8,53,17,Chat,
511,35.186.224.25,443,172.30.139.64,49365,6,Chat,
512,35.186.224.25,443,172.30.139.64,65494,6,Chat,
513,13.33.88.80,443,172.30.139.64,49800,6,Chat,
514,172.30.139.64,57765,172.30.8.8,53,17,Chat,
515,172.30.139.64,57198,172.30.8.8,53,17,File Transfer,
516,23.50.87.128,80,172.30.139.64,49305,6,Chat,
517,172.30.139.64,59166,172.30.8.8,53,17,Chat,
518,13.83.65.43,443,172.30.139.64,49263,6,Chat,
519,13.33.88.75,443,172.30.139.64,65420,6,Chat,
520,172.30.139.64,63125,172.30.8.8,53,17,Chat,
521,172.30.139.64,60798,172.30.8.8,53,17,Chat,
522,142.250.4.95,443,172.30.139.64,64866,6,Gaming,
523,172.30.139.64,51663,52.114.16.78,443,6,File Transfer,
524,172.30.139.64,52141,172.30.8.8,53,17,Chat,
525,40.99.33.178,443,172.30.139.64,64906,6,Chat,
526,172.30.139.64,49291,172.30.8.8,53,17,Chat,
527,172.30.139.64,65280,44.227.198.172,443,6,Chat,
528,172.30.139.64,57555,239.255.255.250,1900,17,Streaming,
529,172.30.139.64,54538,172.30.8.8,53,17,Chat,
530,172.30.139.64,52788,35.186.224.39,443,6,Streaming,
531,172.30.139.64,51619,172.21.2.8,53,17,Chat,
532,35.186.224.25,443,172.30.139.64,49246,6,Chat,
533,172.30.139.64,54097,172.30.8.8,53,17,File Transfer,
534,172.30.139.64,56833,172.30.8.8,53,17,Chat,
535,172.30.139.64,62209,172.30.8.8,53,17,File Transfer,
536,172.30.139.64,62139,172.30.8.8,53,17,Chat,
537,172.30.139.64,57101,172.30.8.8,53,17,Chat,
538,172.30.139.64,0,40.99.33.162,0,0,Email,
539,35.186.224.25,443,172.30.139.64,49801,6,Chat,
540,172.30.139.64,64440,172.30.8.8,53,17,Chat,
541,172.30.139.64,49819,40.99.33.162,443,6,VoIP,
542,13.33.88.89,443,172.30.139.64,49832,6,Chat,
543,172.30.139.64,49691,172.217.194.84,443,6,Streaming,
544,13.33.88.75,443,172.30.139.64,65264,6,Chat,
545,172.30.139.64,49386,64.233.170.94,443,6,Chat,
546,40.79.150.121,443,172.30.139.64,65393,6,Chat,
547,172.30.139.64,53960,172.30.8.8,53,17,Chat,
548,172.30.139.64,54002,172.30.8.8,53,17,Chat,
549,35.186.224.25,443,172.30.139.64,65460,6,Chat,
550,172.30.139.64,62321,172.30.8.8,53,17,Chat,
551,35.186.224.25,443,172.30.139.64,49248,6,Chat,
552,172.30.139.64,59125,172.30.8.8,53,17,Chat,
553,13.33.88.89,443,172.30.139.64,49948,6,Chat,
554,172.30.139.64,56388,172.30.8.8,53,17,Chat,
555,13.33.88.75,443,172.30.139.64,65364,6,Chat,
556,13.33.88.80,443,172.30.139.64,49683,6,Chat,
557,35.186.224.25,443,172.30.139.64,65176,6,Chat,
558,172.30.139.64,58248,172.30.8.8,53,17,Chat,
559,52.27.63.156,443,172.30.139.64,49164,6,Chat,
560,172.30.139.64,50350,172.30.8.8,53,17,Chat,
561,172.30.139.64,61393,172.30.8.8,53,17,Chat,
562,172.30.139.64,58194,172.30.8.8,53,17,Chat,
563,172.30.139.64,49901,52.123.168.36,443,6,Chat,
564,172.30.139.64,55642,172.30.8.8,53,17,Chat,
565,172.30.139.64,52558,239.255.255.250,1900,17,Streaming,
566,172.30.139.64,54598,172.30.8.8,53,17,Chat,
567,13.33.88.8,443,172.30.139.64,65304,6,Chat,
568,172.30.139.64,49885,172.30.8.8,53,17,Chat,
569,35.186.224.25,443,172.30.139.64,49195,6,Chat,
570,172.30.139.64,49664,172.30.8.8,53,17,Chat,
571,142.251.12.100,443,172.30.139.64,64846,6,Chat,
572,172.30.139.64,52474,172.30.8.8,53,17,Chat,
573,172.30.139.64,55311,172.30.8.8,53,17,File Transfer,
574,172.30.139.64,63120,91.108.56.148,443,6,Gaming,
575,172.30.139.64,63516,172.30.8.8,53,17,Chat,
576,35.186.224.25,443,172.30.139.64,49363,6,Chat,
577,13.33.88.75,443,172.30.139.64,65475,6,Chat,
578,172.30.139.64,49421,20.198.162.78,443,6,Streaming,
579,13.33.88.8,443,172.30.139.64,65192,6,Chat,
580,162.159.136.232,443,172.30.139.64,49733,6,Chat,
581,172.30.139.64,52971,172.30.8.8,53,17,Chat,
582,35.186.224.13,443,172.30.139.64,49216,6,Chat,
583,172.30.139.64,53524,172.30.8.8,53,17,Chat,
584,172.30.139.64,51022,172.30.8.8,53,17,Chat,
585,172.30.139.64,57540,172.30.8.8,53,17,Chat,
586,172.30.139.64,51619,172.30.8.8,53,17,Gaming,
587,172.30.139.64,58816,172.30.8.8,53,17,Chat,
588,172.30.139.64,64268,172.30.8.8,53,17,Chat,
589,172.30.139.64,0,35.186.224.25,0,0,Streaming,
590,35.186.224.25,443,172.30.139.64,49803,6,Chat,
591,13.33.88.80,443,172.30.139.64,49921,6,Chat,
592,40.99.10.18,443,172.30.139.64,49765,6,Chat,
593,117.18.232.200,443,172.30.139.64,49202,6,Chat,
594,172.30.139.64,54958,172.30.8.8,53,17,File Transfer,
595,35.186.224.25,443,172.30.139.64,49382,6,Chat,
596,172.30.139.64,0,142.251.10.102,0,0,Chat,
597,172.30.139.64,57020,172.30.8.8,53,17,File Transfer,
598,172.30.139.64,49818,13.89.179.10,443,6,Streaming,
599,172.30.139.64,0,172.217.194.95,0,0,Email,
600,13.33.88.80,443,172.30.139.64,49816,6,Chat,
601,172.30.139.64,57175,172.30.8.8,53,17,Chat,
602,104.69.38.163,80,172.30.139.64,49882,6,Chat,
603,13.83.65.43,443,172.30.139.64,65397,6,Chat,
604,13.33.88.80,443,172.30.139.64,49230,6,Chat,
605,13.33.88.80,443,172.30.139.64,49178,6,Chat,
606,172.30.139.64,0,35.186.227.140,0,0,Gaming,
607,35.186.224.25,443,172.30.139.64,65235,6,Chat,
608,172.30.139.64,52627,172.21.2.8,53,17,Gaming,
609,13.33.88.80,443,172.30.139.64,49896,6,Chat,
610,172.30.139.64,49887,172.30.8.8,53,17,Chat,
611,172.30.139.64,58486,172.30.8.8,53,17,Chat,
612,172.30.139.64,51614,172.30.8.8,53,17,Chat,
613,172.30.139.64,56850,172.30.8.8,53,17,Chat,
614,35.186.224.13,443,172.30.139.64,49184,6,VoIP,
615,172.30.139.64,54131,172.30.8.8,53,17,Chat,
616,172.30.139.64,51868,172.30.8.8,53,17,Chat,
617,172.30.139.64,65191,40.126.35.19,443,6,Streaming,
618,172.30.139.64,54554,172.30.8.8,53,17,Chat,
619,52.123.178.21,443,172.30.139.64,65424,6,Chat,
620,172.30.139.64,51657,104.199.240.237,4070,6,Email,
621,13.33.88.80,443,172.30.139.64,49401,6,Chat,
622,172.30.139.64,51703,172.30.8.8,53,17,File Transfer,
623,35.186.224.25,443,172.30.139.64,65237,6,Chat,
624,172.30.139.64,50542,239.255.255.250,1900,17,Streaming,
625,35.186.224.25,443,172.30.139.64,65305,6,Chat,
626,172.30.139.64,55758,172.30.8.8,53,17,Chat,
627,13.33.88.80,443,172.30.139.64,49786,6,Chat,
628,172.30.139.64,65260,239.255.255.250,1900,17,Streaming,
629,40.99.33.178,443,172.30.139.64,65461,6,Chat,
630,172.30.139.64,51698,52.114.16.77,443,6,Chat,
631,172.30.139.64,51871,172.30.8.8,53,17,Chat,
632,172.30.139.64,58562,172.30.8.8,53,17,Chat,
633,172.30.139.64,50527,172.30.8.8,53,17,Chat,
634,172.30.139.64,55755,172.30.8.8,53,17,Chat,
635,35.186.224.25,443,172.30.139.64,65251,6,Chat,
636,35.186.224.25,443,172.30.139.64,65489,6,Chat,
637,13.33.88.75,443,172.30.139.64,65490,6,Chat,
638,172.30.139.64,57020,172.21.2.8,53,17,File Transfer,
639,152.195.38.76,80,172.30.139.64,65392,6,Chat,
640,172.30.139.64,56793,172.30.8.8,53,17,Chat,
641,172.30.139.64,55345,172.30.8.8,53,17,Chat,
642,13.33.88.8,443,172.30.139.64,65318,6,Chat,
643,13.83.65.43,443,172.30.139.64,65516,6,Chat,
644,35.186.224.25,443,172.30.139.64,49406,6,Chat,
645,172.30.139.64,59792,172.30.8.8,53,17,Chat,
646,172.30.139.64,49289,172.30.8.8,53,17,Chat,
647,172.30.139.64,60528,172.30.8.8,53,17,Chat,
648,13.33.88.8,443,172.30.139.64,49731,6,Chat,
649,172.30.139.64,0,52.113.194.132,0,0,Streaming,
650,172.30.139.64,62409,172.30.8.8,53,17,Chat,
651,172.30.139.64,64148,172.30.8.8,53,17,Chat,
652,172.30.139.64,61816,172.30.8.8,53,17,Chat,
653,172.30.139.64,62825,172.30.8.8,53,17,Chat,
654,13.33.88.80,443,172.30.139.64,65514,6,Chat,
655,13.33.88.80,443,172.30.139.64,49760,6,Chat,
656,172.30.139.64,49403,44.227.198.172,443,6,Chat,
657,13.33.88.75,443,172.30.139.64,49288,6,Chat,
658,172.30.139.64,62605,172.30.8.8,53,17,Chat,
659,13.33.88.75,443,172.30.139.64,65407,6,Chat,
660,13.33.88.75,443,172.30.139.64,49318,6,Chat,
661,172.30.139.64,65001,172.30.8.8,53,17,Chat,
662,35.186.224.13,443,172.30.139.64,49734,6,Chat,
663,172.30.139.64,58938,239.255.255.250,1900,17,Streaming,
664,13.33.88.75,443,172.30.139.64,65350,6,Chat,
665,35.186.224.13,443,172.30.139.64,49364,6,VoIP,
666,172.30.139.64,49863,172.30.8.8,53,17,Chat,
667,172.30.139.64,60979,172.30.8.8,53,17,File Transfer,
668,172.30.139.64,51475,172.30.8.8,53,17,Chat,
669,35.186.224.25,443,172.30.139.64,49163,6,Chat,
670,172.30.139.64,61788,172.30.8.8,53,17,Chat,
671,172.30.139.64,63282,172.30.8.8,53,17,Chat,
672,13.33.88.75,443,172.30.139.64,49304,6,Chat,
673,172.30.139.64,49385,142.251.12.95,443,6,Chat,
674,172.30.139.64,65077,172.217.194.95,443,6,Streaming,
675,172.30.139.64,56309,172.30.8.8,53,17,Chat,
676,172.30.139.64,63099,172.30.8.8,53,17,Chat,
677,172.30.139.64,49192,172.21.2.8,53,17,Chat,
678,13.33.88.8,443,172.30.139.64,65175,6,Chat,
679,172.30.139.64,59089,172.30.8.8,53,17,Chat,
680,172.30.139.64,65074,172.30.8.8,53,17,Chat,
681,172.30.139.64,52010,172.30.8.8,53,17,File Transfer,
682,13.33.88.8,443,172.30.139.64,49747,6,Chat,
683,172.30.139.64,59810,172.30.8.8,53,17,File Transfer,
684,172.30.139.64,61651,172.30.8.8,53,17,Chat,
685,172.30.139.64,51578,172.30.8.8,53,17,Chat,
686,13.33.88.75,443,172.30.139.64,65391,6,Chat,
687,162.159.136.232,443,172.30.139.64,65333,6,Chat,
688,13.33.88.75,443,172.30.139.64,49261,6,Chat,
689,172.30.139.64,54843,172.30.8.8,53,17,Chat,
690,13.33.88.8,443,172.30.139.64,65279,6,Chat,
691,172.30.139.64,62897,172.30.8.8,53,17,Chat,
692,172.30.139.64,51904,172.30.8.8,53,17,Chat,
693,172.30.139.64,60444,172.30.8.8,53,17,Chat,
694,13.33.88.75,443,172.30.139.64,49245,6,Chat,
695,35.186.224.25,443,172.30.139.64,65531,6,Chat,
696,35.186.224.25,443,172.30.139.64,49402,6,Chat,
697,172.30.139.64,49962,172.30.8.8,53,17,Chat,
698,172.30.139.64,49188,20.190.144.161,443,6,VoIP,
699,172.30.139.64,60386,172.30.8.8,53,17,Chat,
700,172.30.139.64,54311,172.30.8.8,53,17,Chat,
701,172.30.139.64,62616,172.30.8.8,53,17,Chat,
702,13.33.88.80,443,172.30.139.64,49716,6,Chat,
703,172.30.139.64,0,64.233.170.94,0,0,Streaming,
704,40.99.8.194,443,172.30.139.64,64040,6,Gaming,
705,172.30.139.64,49949,185.199.108.133,443,6,Streaming,
706,13.33.88.80,443,172.30.139.64,49215,6,Chat,
707,172.30.139.64,50537,172.30.8.8,53,17,File Transfer,
708,20.44.239.154,443,172.30.139.64,65319,6,Chat,
709,172.30.139.64,53699,172.30.8.8,53,17,Chat,
710,172.30.139.64,54573,172.30.8.8,53,17,Chat,
711,172.30.139.64,65197,20.42.65.85,443,6,Streaming,
712,172.30.139.64,55725,172.30.8.8,53,17,Chat,
713,13.83.65.43,443,172.30.139.64,49390,6,Chat,
